id,name,price,expires
542,"Cheese - Havarti, Roasted Garlic",3.51,04/06/2019
543,True - Vue Containers,2.6,12/08/2019
544,Cheese - Oka,1.19,12/06/2019
545,Wine - Domaine Boyar Royal,4.55,04/24/2019
546,Jagermeister,4.63,08/05/2019
547,Shrimp - Prawn,3.67,10/24/2019
548,Soup - Campbells,3.77,08/20/2019
549,Garbage Bags - Black,1.91,12/15/2019
550,Beer - Steamwhistle,1.2,10/10/2019
551,Ham - Cooked Italian,2.97,06/27/2019
552,Galliano,4.63,04/23/2019
553,Soup - Campbells - Tomato,2.49,01/08/2019
554,"Lemonade - Natural, 591 Ml",2.14,03/09/2019
555,Pastry - Apple Large,1.26,12/21/2019
556,Kippers - Smoked,3.46,01/28/2019
557,Table Cloth 54x72 Colour,2.41,12/06/2019
558,Arizona - Plum Green Tea,4.76,01/29/2019
559,Galliano,3.15,03/02/2019
560,Lamb - Ground,3.29,08/09/2019
561,"Yogurt - Peach, 175 Gr",3.88,01/04/2019
562,"Veal - Brisket, Provimi,bnls",1.69,04/08/2019
563,Onions - Cooking,3.48,04/03/2019
564,Amarula Cream,3.29,01/03/2019
565,"Nut - Almond, Blanched, Whole",1.48,06/02/2019
566,Chevril,2.23,05/18/2019
567,"Clams - Littleneck, Whole",1.47,08/24/2019
568,Nut - Macadamia,3.13,04/29/2019
569,"Wine - White, Lindemans Bin 95",4.29,11/26/2019
570,Hand Towel,3.23,05/28/2019
571,"Crab - Dungeness, Whole",2.23,12/29/2019
572,Cheese - Oka,2.71,09/12/2019
573,Muffin Mix - Carrot,3.51,08/09/2019
574,Tamarillo,4.93,03/31/2019
575,"Tomatoes - Vine Ripe, Red",2.39,07/03/2019
576,Salt And Pepper Mix - White,4.31,07/04/2019
577,Ecolab - Mikroklene 4/4 L,1.07,01/20/2019
578,"Pepper - Black, Whole",2.9,11/27/2019
579,Apple - Macintosh,1.3,04/17/2019
580,Wine - Sogrape Mateus Rose,3.37,12/04/2019
581,"Soup - Campbells, Minestrone",3.35,06/24/2019
582,Sauce - Balsamic Viniagrette,1.9,03/31/2019
583,Creamers - 10%,2.17,08/23/2019
584,Sauce - Caesar Dressing,4.65,07/22/2019
585,Lamb Leg - Bone - In Nz,4.48,02/22/2019
586,Beer - Corona,4.2,09/07/2019
587,Cake - Bande Of Fruit,4.78,08/30/2019
588,Toothpick Frilled,4.71,05/23/2019
589,Cheese - Mozzarella,2.59,11/17/2019
590,Bouillion - Fish,4.21,12/23/2019
591,Foam Dinner Plate,3.5,11/04/2019
592,Clams - Canned,1.03,07/13/2019
593,Extract Vanilla Pure,4.07,01/31/2019
594,Pie Shell - 5,1.33,03/28/2019
595,Chocolate - Unsweetened,3.08,02/11/2019
596,Cake - Cake Sheet Macaroon,2.36,12/11/2019
597,"Wine - White, Mosel Gold",2.44,06/15/2019
598,Mushroom - Morel Frozen,2.92,05/09/2019
599,Towel Dispenser,4.63,02/11/2019
600,Halibut - Steaks,2.67,06/14/2019
601,Veal - Knuckle,2.3,09/29/2019
602,Coffee Cup 12oz 5342cd,4.65,10/25/2019
603,Shiratamako - Rice Flour,2.24,08/29/2019
604,Broccoli - Fresh,1.06,03/18/2019
605,Graham Cracker Mix,4.68,02/05/2019
606,Otomegusa Dashi Konbu,2.98,06/10/2019
607,Coffee Decaf Colombian,1.35,01/08/2019
608,Chicken Breast Halal,1.08,06/22/2019
609,Rappini - Andy Boy,1.13,05/18/2019
610,Parsley - Fresh,2.27,10/07/2019
611,Salmon - Canned,4.23,04/27/2019
612,Mcgillicuddy Vanilla Schnap,3.53,11/09/2019
613,Energy Drink,3.75,08/22/2019
614,Juice - Cranberry 284ml,3.66,08/09/2019
615,Energy - Boo - Koo,2.72,09/16/2019
616,Vinegar - Sherry,4.53,10/22/2019
617,Avocado,1.05,03/23/2019
618,Beer - Rickards Red,2.09,01/20/2019
619,"Seedlings - Buckwheat, Organic",1.54,03/12/2019
620,Muffin Mix - Corn Harvest,4.94,12/09/2019
621,Pastry - Raisin Muffin - Mini,2.26,12/01/2019
622,Icecream - Dstk Super Cone,4.38,11/18/2019
623,Cheese - Sheep Milk,2.7,03/10/2019
624,Curry Powder,2.47,06/13/2019
625,Mangostein,3.11,06/01/2019
626,Tofu - Soft,4.04,06/15/2019
627,Flour - Masa De Harina Mexican,2.54,02/01/2019
628,Curry Paste - Green Masala,2.25,06/01/2019
629,V8 - Vegetable Cocktail,2.85,04/20/2019
630,Godiva White Chocolate,2.04,07/23/2019
631,Foam Espresso Cup Plain White,1.97,05/30/2019
632,Beer - Sleeman Fine Porter,3.57,04/26/2019
633,"Mop Head - Cotton, 24 Oz",3.9,06/20/2019
634,Tofu - Firm,1.34,02/02/2019
635,Sage - Rubbed,3.96,01/05/2019
636,Cardamon Seed / Pod,2.26,06/03/2019
637,Eggplant Italian,2.98,02/27/2019
638,Bagel - Whole White Sesame,4.35,12/26/2019
639,"Chilli Paste, Sambal Oelek",4.63,03/16/2019
640,"Tart Shells - Savory, 3",2.22,01/18/2019
641,Ecolab Crystal Fusion,2.07,07/03/2019
642,Cabbage Roll,2.63,04/10/2019
643,Coffee Decaf Colombian,3.43,10/08/2019
644,Juice - Lemon,1.59,12/12/2019
645,"Turkey - Breast, Boneless Sk On",3.06,01/14/2019
646,Beef - Texas Style Burger,1.12,10/04/2019
647,Cheese - St. Paulin,4.8,02/08/2019
648,"Cheese - Cheddar, Mild",4.13,02/11/2019
649,"Chocolate - Pistoles, White",1.33,12/15/2019
650,Orange - Tangerine,3.49,04/30/2019
651,Straws - Cocktale,3.94,03/05/2019
652,Mushroom - Lg - Cello,2.72,09/03/2019
653,Flower - Carnations,1.56,09/07/2019
654,Scallops - 10/20,2.97,12/11/2019
655,Clam - Cherrystone,1.4,05/07/2019
656,Parasol Pick Stir Stick,3.92,10/08/2019
657,Bread - Rye,4.33,05/09/2019
658,Potatoes - Mini White 3 Oz,4.77,09/27/2019
659,Aspic - Amber,1.27,12/11/2019
660,Sproutsmustard Cress,1.41,11/27/2019
661,Wine - Rosso Del Veronese Igt,2.5,01/17/2019
662,Longos - Chicken Wings,3.85,07/09/2019
663,"Wine - White, Riesling, Henry Of",2.69,08/17/2019
664,Lemon Pepper,1.12,01/25/2019
665,Assorted Desserts,2.91,06/21/2019
666,Soup - Campbells Broccoli,2.49,12/09/2019
667,"Pasta - Penne, Lisce, Dry",2.72,03/19/2019
668,Snails - Large Canned,4.76,09/07/2019
669,Soup - Campbells Pasta Fagioli,2.88,05/18/2019
670,Potatoes - Mini White 3 Oz,2.02,03/21/2019
671,Icecream Bar - Del Monte,2.83,01/15/2019
672,Puree - Mocha,5,10/15/2019
673,Eel - Smoked,2.88,02/27/2019
674,Flower - Daisies,1.01,08/07/2019
675,Cotton Wet Mop 16 Oz,4.37,03/30/2019
676,Five Alive Citrus,1.59,08/10/2019
677,Cheese - Mix,4.31,11/21/2019
678,Nacho Chips,3.28,01/31/2019
679,Pail For Lid 1537,1.7,05/15/2019
680,Pineapple - Golden,4.57,08/21/2019
681,Banana Turning,4.87,08/29/2019
682,Boogies,3.89,12/04/2019
683,Mushroom - Morel Frozen,2.78,03/07/2019
684,Wine - Hardys Bankside Shiraz,3.32,05/04/2019
685,Carbonated Water - Lemon Lime,2.27,03/05/2019
686,Beef - Texas Style Burger,3.75,05/12/2019
687,Monkfish - Fresh,4.64,07/11/2019
688,"Pepper - Chipotle, Canned",3.71,03/03/2019
689,Beets - Mini Golden,2.63,11/07/2019
690,Tomatoes - Hot House,3.09,07/07/2019
691,Oil - Olive Bertolli,1.25,12/26/2019
692,Magnotta Bel Paese Red,1.43,12/11/2019
693,Bandage - Fexible 1x3,2.33,10/17/2019
694,Hot Choc Vending,4.84,05/19/2019
695,"Onions - Dried, Chopped",3.72,06/04/2019
696,Wine - Chateau Aqueria Tavel,3.16,10/25/2019
697,Basil - Fresh,2.34,06/25/2019
698,Walkers Special Old Whiskey,3.83,08/20/2019
699,Tomato - Tricolor Cherry,4.8,02/20/2019
700,Mince Meat - Filling,3.63,01/06/2019
701,Beer - Original Organic Lager,4.27,01/14/2019
702,Calvados - Boulard,1,04/16/2019
703,Nantucket Cranberry Juice,4.19,12/16/2019
704,Squash - Sunburst,2.47,03/08/2019
705,"Wine - Niagara,vqa Reisling",4.49,08/02/2019
706,Muffin - Mix - Strawberry Rhubarb,2.75,03/02/2019
707,"Wine - Red, Colio Cabernet",1.25,09/05/2019
708,Pastry - Key Limepoppy Seed Tea,4.16,07/06/2019
709,Calypso - Pineapple Passion,3.34,01/19/2019
710,Hog / Sausage Casing - Pork,2.2,02/22/2019
711,"Sugar - Brown, Individual",1.7,06/13/2019
712,Longos - Grilled Veg Sandwiches,2.39,09/11/2019
713,Salt And Pepper Mix - White,1.26,07/10/2019
714,Nantucket - 518ml,2.59,04/22/2019
715,Potatoes - Idaho 100 Count,3.89,08/25/2019
716,Cookie Dough - Peanut Butter,3.64,01/18/2019
717,Tea - Vanilla Chai,3.96,03/28/2019
718,Ecolab Silver Fusion,1.43,02/23/2019
719,Bag Stand,4.72,03/15/2019
720,Tart - Pecan Butter Squares,3.93,01/16/2019
721,Chambord Royal,2.33,10/17/2019
722,Pork - Inside,3.19,10/03/2019
723,"Wine - Mas Chicet Rose, Vintage",4.41,04/15/2019
724,Celery,4.08,04/24/2019
725,"Mushroom - Morels, Dry",2.5,06/10/2019
726,Sauce Tomato Pouch,4.98,08/21/2019
727,Pastry - Apple Large,1.79,09/20/2019
728,Grenadine,3.91,01/08/2019
729,Pomegranates,2.77,02/02/2019
730,Bread Crumbs - Japanese Style,4.45,05/30/2019
731,Pastry - Trippleberry Muffin - Mini,1.27,07/19/2019
732,Flour - Semolina,2.46,08/14/2019
733,Seaweed Green Sheets,1.03,02/26/2019
734,"Juice - Orange, Concentrate",3.27,01/17/2019
735,Cake Slab,4.5,09/14/2019
736,Spinach - Baby,2.17,09/02/2019
737,Higashimaru Usukuchi Soy,4.93,12/16/2019
738,"Leeks - Baby, White",3.43,04/04/2019
739,"Beans - Black Bean, Canned",2.6,08/20/2019
740,Sun - Dried Tomatoes,3,12/04/2019
741,Tea - Herbal I Love Lemon,2.92,11/11/2019
742,Soap - Pine Sol Floor Cleaner,3.99,08/25/2019
743,Eggplant - Asian,2.82,07/29/2019
744,Potatoes - Pei 10 Oz,1.49,03/20/2019
745,Lettuce - Arugula,2.59,12/23/2019
746,Sambuca - Opal Nera,1.91,01/23/2019
747,Curry Powder Madras,3.41,01/31/2019
748,Carbonated Water - Peach,2.77,11/18/2019
749,Fuji Apples,4.42,09/22/2019
750,Limes,3.21,06/05/2019
751,Calypso - Strawberry Lemonade,1.52,07/29/2019
752,Bread Base - Toscano,4.28,08/23/2019
753,Cake - Cheese Cake 9 Inch,4.3,08/06/2019
754,Teriyaki Sauce,4.5,01/31/2019
755,"Pepper - Black, Crushed",4.05,08/27/2019
756,Higashimaru Usukuchi Soy,4.52,04/18/2019
757,"Soup - Knorr, Chicken Gumbo",4.51,03/21/2019
758,Beer - Moosehead,3.28,01/12/2019
759,True - Vue Containers,2.1,04/19/2019
760,"Beans - Black Bean, Canned",2.76,01/17/2019
761,Shrimp - Black Tiger 13/15,2.19,06/06/2019
762,Bok Choy - Baby,3.57,07/29/2019
763,"Wine - White, Chardonnay",2.77,10/28/2019
764,Wine - Winzer Krems Gruner,4.72,06/06/2019
765,Venison - Striploin,4.96,08/18/2019
766,Sea Urchin,3.24,01/16/2019
767,Oil - Coconut,2.58,12/27/2019
768,Sambuca - Opal Nera,4.3,05/15/2019
769,The Pop Shoppe - Grape,3.09,05/04/2019
770,"Wine - Red, Marechal Foch",2.3,06/06/2019
771,Peach - Fresh,2.04,02/10/2019
772,Bread - Sour Sticks With Onion,4.35,02/16/2019
773,Bread - Italian Corn Meal Poly,4.12,06/18/2019
774,Stainless Steel Cleaner Vision,2.17,01/19/2019
775,Galliano,4.44,12/05/2019
776,Island Oasis - Pina Colada,4.82,04/18/2019
777,Red Cod Fillets - 225g,2.8,12/26/2019
778,Lambcasing,4.2,08/20/2019
779,Olive - Spread Tapenade,4.08,11/24/2019
780,Apricots Fresh,3.65,08/04/2019
781,Miso - Soy Bean Paste,3.82,05/24/2019
782,Pepper - Cayenne,3.01,10/05/2019
783,Raspberries - Fresh,1.72,01/07/2019
784,Shrimp - Black Tiger 26/30,1.21,10/06/2019
785,Bread Base - Goodhearth,2.24,04/12/2019
786,Easy Off Oven Cleaner,4.22,09/13/2019
787,Ice Cream Bar - Drumstick,3.35,07/23/2019
788,Muffin Mix - Blueberry,4.49,02/05/2019
789,Wine - Gewurztraminer Pierre,3.22,02/05/2019
790,Flour - Masa De Harina Mexican,1.93,02/01/2019
791,Sesame Seed,3.73,12/28/2019
792,Napkin - Beverage 1 Ply,2.01,09/09/2019
793,Lamb - Loin Chops,5,11/28/2019
794,Gatorade - Fruit Punch,2.75,03/13/2019
795,Garlic Powder,2.91,01/14/2019
796,Tofu - Firm,1.72,05/07/2019
797,Molasses - Fancy,4.45,10/25/2019
798,"Sauce - Black Current, Dry Mix",3.53,11/26/2019
799,"Wine - Bourgogne 2002, La",4.24,02/08/2019
800,"Pepper - Chipotle, Canned",3.89,06/12/2019
801,Sprouts - Peppercress,3.99,08/29/2019
802,Graham Cracker Mix,1.15,06/04/2019
803,Sausage - Blood Pudding,3.64,06/24/2019
804,Curry Powder,2.34,06/22/2019
805,Wine - Fontanafredda Barolo,4.63,03/22/2019
806,Apples - Sliced / Wedge,1.86,10/11/2019
807,Soup Campbells Beef With Veg,1.97,01/13/2019
808,"Apple - Delicious, Golden",4.24,03/29/2019
809,"Roe - Lump Fish, Black",2.2,03/06/2019
810,Pickle - Dill,3.66,07/02/2019
811,Mint - Fresh,4.44,05/19/2019
812,Ham - Cooked Italian,1.65,05/26/2019
813,"Lamb - Leg, Diced",4.63,09/19/2019
814,White Fish - Filets,1.03,05/29/2019
815,Muffin - Banana Nut Individual,3.35,09/15/2019
816,Soap - Mr.clean Floor Soap,1.95,08/17/2019
817,Lettuce - Green Leaf,1.96,07/05/2019
818,Bagelers - Cinn / Brown,3.45,10/25/2019
819,Lamb Shoulder Boneless Nz,4.6,08/24/2019
820,Spice - Greek 1 Step,1.52,04/04/2019
821,Blouse / Shirt / Sweater,2.31,07/20/2019
822,"Lamb - Loin, Trimmed, Boneless",3.75,04/18/2019
823,Carbonated Water - Cherry,2.88,03/05/2019
824,Fireball Whisky,1.41,08/23/2019
825,Cookie - Oreo 100x2,1.25,03/19/2019
826,Cheese - Feta,2.46,11/29/2019
827,Red Currants,2.17,12/18/2019
828,Potato - Sweet,3.31,10/15/2019
829,Paper - Brown Paper Mini Cups,2.22,08/14/2019
830,"Doilies - 7, Paper",4.11,12/15/2019
831,Pastry - French Mini Assorted,1.19,08/12/2019
832,Praline Paste,3.51,12/02/2019
833,Buttons,4.22,09/16/2019
834,Lettuce - Boston Bib - Organic,3.81,11/28/2019
835,"Pasta - Lasagne, Fresh",3.63,04/21/2019
836,Wine - Chardonnay Mondavi,2.5,06/23/2019
837,"Thyme - Lemon, Fresh",2.45,09/21/2019
838,Shrimp - 100 / 200 Cold Water,3.1,05/03/2019
839,Lid - 3oz Med Rec,4.75,01/16/2019
840,Wine - Cava Aria Estate Brut,2.9,09/07/2019
841,"Flour - Buckwheat, Dark",3.1,06/28/2019
842,Extract Vanilla Pure,2.7,07/09/2019
843,Saskatoon Berries - Frozen,4.59,10/21/2019
844,"Fish - Scallops, Cold Smoked",2.13,03/10/2019
845,Veal - Bones,1.22,11/29/2019
846,"Wine - Red, Cooking",4.14,05/15/2019
847,Tofu - Soft,3.55,07/15/2019
848,"Mushroom - Porcini, Dry",2.49,07/22/2019
849,Wine - Jafflin Bourgongone,4.51,03/13/2019
850,"Beef - Roasted, Cooked",1.64,12/27/2019
851,"Coconut - Shredded, Sweet",1.37,08/13/2019
852,Ginsing - Fresh,2.64,02/01/2019
853,Cheese - Le Cheve Noir,2.55,03/25/2019
854,Bread - Raisin Walnut Pull,2.15,05/19/2019
855,Wine - Sawmill Creek Autumn,2.99,10/23/2019
856,Wine - Wyndham Estate Bin 777,3.88,09/03/2019
857,Cheese - Ermite Bleu,2.03,02/19/2019
858,Glass Clear 7 Oz Xl,2.14,02/25/2019
859,Veal - Leg,2.81,01/30/2019
860,Garlic - Elephant,2.25,03/14/2019
861,"Juice - Clam, 46 Oz",3.88,06/11/2019
862,Syrup - Chocolate,4.12,11/12/2019
863,Mushroom - Portebello,4.51,11/14/2019
864,"Wine - Red, Gallo, Merlot",1.91,11/13/2019
865,Soap - Hand Soap,4.07,07/10/2019
866,Pastry - Chocolate Marble Tea,1.19,02/08/2019
867,Lemon Grass,4.7,06/06/2019
868,Sauce - Hollandaise,4.5,02/18/2019
869,Lettuce - Red Leaf,3.17,05/09/2019
870,Wine - Barolo Fontanafredda,3.26,10/06/2019
871,Icecream - Dstk Strw Chseck,1.59,08/09/2019
872,Chocolate - Liqueur Cups With Foil,2.79,01/26/2019
873,Raisin - Golden,3.88,08/18/2019
874,Soup - Cream Of Potato / Leek,2.38,12/11/2019
875,Broom And Broom Rack White,3.89,11/26/2019
876,Bacardi Limon,1.52,05/24/2019
877,Ecolab - Balanced Fusion,2.99,12/27/2019
878,Puree - Pear,2.08,04/14/2019
879,Apples - Sliced / Wedge,4.26,01/08/2019
880,Coconut - Whole,3.54,01/06/2019
881,"Lamb - Leg, Diced",3.37,05/18/2019
882,Kumquat,3.7,08/01/2019
883,Appetizer - Veg Assortment,1.69,06/23/2019
884,Gherkin - Sour,1.85,04/27/2019
885,Dehydrated Kelp Kombo,3.82,05/31/2019
886,Ecolab Crystal Fusion,2.74,11/19/2019
887,"Chocolate - Pistoles, White",2.57,06/20/2019
888,Rice - 7 Grain Blend,3.02,02/20/2019
889,Puree - Raspberry,3.56,02/19/2019
890,Foam Tray S2,3.26,09/13/2019
891,Sauce - Demi Glace,3.1,09/07/2019
892,Straw - Regular,4.52,06/07/2019
893,Oven Mitt - 13 Inch,2.22,06/05/2019
894,Cheese - Pont Couvert,3.93,02/27/2019
895,Shopper Bag - S - 4,4.92,03/22/2019
896,Cake Slab,1.33,07/05/2019
897,Pork Ham Prager,3.66,05/29/2019
898,Tequila Rose Cream Liquor,3.51,01/21/2019
899,Tomatoes - Grape,4.57,04/30/2019
900,"Pepper - Red, Finger Hot",1.82,10/15/2019
901,Bowl 12 Oz - Showcase 92012,3.45,05/14/2019
902,Pepper - Scotch Bonnet,3.53,09/09/2019
903,Table Cloth 54x54 White,3.68,04/02/2019
904,"Pork - Ham, Virginia",2.67,08/12/2019
905,Muffin Hinge - 211n,1.84,12/26/2019
906,"Soup - Campbells, Minestrone",2.24,08/02/2019
907,Tea - Earl Grey,1.24,03/23/2019
908,Taro Root,4.59,12/28/2019
909,Wine - Zinfandel Rosenblum,4.98,01/24/2019
910,Quail - Jumbo Boneless,1.65,04/10/2019
911,Pork - Suckling Pig,4.2,11/09/2019
912,"Shrimp - 21/25, Peel And Deviened",4.54,03/07/2019
913,Gherkin - Sour,2.47,06/29/2019
914,Tea - Honey Green Tea,2.51,05/22/2019
915,Pasta - Ravioli,1.3,02/22/2019
916,Lamb Leg - Bone - In Nz,1.5,11/18/2019
917,"Juice - Pineapple, 48 Oz",2.4,10/28/2019
918,"Wine - Niagara,vqa Reisling",2.62,05/19/2019
919,"Flour - Corn, Fine",4.88,11/14/2019
920,"Yogurt - Blueberry, 175 Gr",2.68,04/20/2019
921,"Stock - Chicken, White",1.3,07/02/2019
922,"Napkin - Dinner, White",3.07,09/08/2019
923,Bacardi Mojito,2.52,01/14/2019
924,"Lamb - Whole, Frozen",1.44,11/19/2019
925,"Tortillas - Flour, 8",3.84,08/05/2019
926,The Pop Shoppe Pinapple,4.62,02/22/2019
927,Cheese - Valancey,4.85,12/23/2019
928,"Wine - Saint - Bris 2002, Sauv",2.77,02/26/2019
929,Kohlrabi,4.49,11/21/2019
930,Energy - Boo - Koo,4.74,08/05/2019
931,"Pork - Loin, Bone - In",3.56,06/25/2019
932,Yoplait Drink,2.81,06/30/2019
933,"Red Snapper - Fillet, Skin On",3.46,07/27/2019
934,Vanilla Beans,3.14,06/11/2019
935,Wine - Taylors Reserve,2.88,06/10/2019
936,Wooden Mop Handle,3.09,06/08/2019
937,Cafe Royale,4.14,01/21/2019
938,"Bread - Pullman, Sliced",1.55,02/18/2019
939,Cheese Cloth,3.4,03/18/2019
940,Pastry - Banana Muffin - Mini,2.79,03/10/2019
941,"Asparagus - White, Fresh",1.89,05/07/2019
942,Bread - French Baquette,2.44,09/07/2019
943,Longos - Lasagna Veg,2.81,08/26/2019
944,Fenngreek Seed,2.9,09/17/2019
945,Higashimaru Usukuchi Soy,2.01,08/13/2019
946,Celery,2.86,10/16/2019
947,Appetizer - Lobster Phyllo Roll,2.72,01/18/2019
948,"Oil - Shortening,liqud, Fry",1.45,04/26/2019
949,Plate Pie Foil,4.65,11/05/2019
950,Red Currant Jelly,3.74,11/11/2019
951,Beer - Camerons Auburn,2.24,02/18/2019
952,Sauce - Chili,3.16,06/30/2019
953,Milk - Homo,3.34,12/16/2019
954,Sauce - Plum,2.19,02/20/2019
955,"Juice - Clam, 46 Oz",2.46,12/25/2019
956,"Yeast - Fresh, Fleischman",3.25,11/05/2019
957,Hold Up Tool Storage Rack,3.36,05/13/2019
958,Oil - Hazelnut,4.32,01/01/2019
959,Roe - Flying Fish,2.14,06/17/2019
960,Berry Brulee,1.71,07/11/2019
961,Juice - Ocean Spray Cranberry,3.98,05/21/2019
962,"Bar Mix - Pina Colada, 355 Ml",4.55,12/18/2019
963,Ginger - Fresh,4.59,10/04/2019
964,"Pepper - Paprika, Hungarian",2.79,10/06/2019
965,Sauce - Balsamic Viniagrette,2.15,12/07/2019
966,Soup - Campbells Chili,2.73,01/05/2019
967,Cut Wakame - Hanawakaba,1.76,02/18/2019
968,Puree - Mango,2.4,02/28/2019
969,Coffee - Decafenated,3.44,04/08/2019
970,Beer - Sleeman Fine Porter,4.11,09/27/2019
971,Chips - Potato Jalapeno,1,10/04/2019
972,Skewers - Bamboo,4.41,07/10/2019
973,Soup - Verve - Chipotle Chicken,1.98,05/30/2019
974,Tart - Pecan Butter Squares,2.02,10/09/2019
975,"Nut - Pecan, Halves",3.75,06/03/2019
976,Pomello,3.37,10/21/2019
977,Wine - Zinfandel Rosenblum,2.44,04/18/2019
978,Macaroons - Homestyle Two Bit,3.55,01/09/2019
979,Icecream - Dibs,1.67,10/10/2019
980,"Star Anise, Whole",1.6,09/15/2019
981,"Thyme - Lemon, Fresh",4.89,03/25/2019
982,"Bread - Sticks, Thin, Plain",4.08,06/03/2019
983,Bagelers,1.88,12/29/2019
984,Wasabi Powder,4.95,03/08/2019
985,"Lamb - Leg, Diced",4.28,08/05/2019
986,Sauce Tomato Pouch,1.25,04/10/2019
987,Food Colouring - Green,3.8,10/12/2019
988,"Lamb - Leg, Diced",2.44,09/12/2019
989,Nacho Chips,4.79,07/10/2019
990,Gherkin - Sour,4.82,12/16/2019
991,Wine - Muscadet Sur Lie,1.82,11/24/2019
992,Crackers - Trio,1.39,05/20/2019
993,Calypso - Lemonade,1.09,11/11/2019
994,"Sole - Dover, Whole, Fresh",3.02,01/20/2019
995,Pork - Ground,1.46,07/25/2019
996,Longos - Grilled Salmon With Bbq,2.75,05/17/2019
997,"Tarragon - Primerba, Paste",2.2,03/06/2019
998,Quiche Assorted,3.34,02/03/2019
999,Glove - Cutting,2.87,05/10/2019
1000,Beans - Soya Bean,4.39,02/18/2019
